X,Y,Z
0.73,0.08,-3.59
0.73,0.08,-3.59
0.73,0.08,-3.59
0.73,0.08,-3.59
0.73,0.08,-3.59
0.73,0.08,-3.59
0.73,0.08,-3.59
0.73,0.08,-3.59
0.73,0.08,-3.59
0.73,0.08,-3.59
0.73,0.08,-3.59
0.73,0.08,-3.59
0.73,0.08,-3.59
0.73,0.08,-3.59
0.73,0.08,-3.6
0.73,0.08,-3.6
0.73,0.08,-3.6
0.73,0.08,-3.6
0.73,0.08,-3.6
0.73,0.08,-3.6
0.73,0.08,-3.6
0.73,0.08,-3.6
0.73,0.08,-3.6
0.73,0.08,-3.6
0.73,0.08,-3.6
0.73,0.08,-3.6
0.73,0.08,-3.6
0.73,0.08,-3.6
0.73,0.08,-3.6
0.73,0.08,-3.6
0.73,0.08,-3.6
0.73,0.08,-3.6
0.73,0.08,-3.6
0.73,0.08,-3.6
0.73,0.08,-3.6
0.73,0.08,-3.6
0.73,0.08,-3.6
0.73,0.08,-3.6
0.73,0.09,-3.6
0.73,0.09,-3.6
0.73,0.08,-3.6
0.73,0.08,-3.6
0.73,0.08,-3.6
0.73,0.08,-3.6
0.73,0.08,-3.6
0.74,0.08,-3.6
0.73,0.08,-3.6
0.73,0.08,-3.59
0.73,0.08,-3.6
0.73,0.08,-3.6
0.73,0.08,-3.6
0.73,0.08,-3.6
0.74,0.08,-3.59
0.73,0.09,-3.6
0.73,0.09,-3.6
0.74,0.09,-3.6
0.73,0.09,-3.6
0.73,0.09,-3.6
0.73,0.09999999,-3.6
0.73,0.09999999,-3.6
0.73,0.09,-3.6
0.73,0.09,-3.6
0.73,0.09,-3.6
0.74,0.09,-3.6
0.74,0.09,-3.6
0.74,0.09,-3.6
0.74,0.09,-3.6
0.74,0.09,-3.6
0.74,0.09,-3.6
0.74,0.09,-3.6
0.74,0.09,-3.6
0.75,0.09,-3.6
0.75,0.09,-3.6
0.75,0.09,-3.6
0.75,0.09999999,-3.59
0.75,0.09999999,-3.59
0.75,0.09999999,-3.59
0.75,0.09999999,-3.59
0.76,0.09999999,-3.59
0.76,0.09999999,-3.59
0.76,0.09999999,-3.59
0.76,0.09999999,-3.59
0.76,0.09999999,-3.59
